formula,value,AtomicVolume_stoich_avg,AtomicVolume_min,AtomicVolume_max,AtomicWeight_stoich_avg,AtomicWeight_min,AtomicWeight_max,BoilingT_stoich_avg,BoilingT_min,BoilingT_max,Column_stoich_avg,Column_min,Column_max,CovalentRadius_stoich_avg,CovalentRadius_min,CovalentRadius_max,Density_stoich_avg,Density_min,Density_max,Electronegativity_stoich_avg,Electronegativity_min,Electronegativity_max,FirstIonizationEnergy_stoich_avg,FirstIonizationEnergy_min,FirstIonizationEnergy_max,GSbandgap_stoich_avg,GSbandgap_min,GSbandgap_max,GSenergy_pa_stoich_avg,GSenergy_pa_min,GSenergy_pa_max,GSestBCClatcnt_stoich_avg,GSestBCClatcnt_min,GSestBCClatcnt_max,GSestFCClatcnt_stoich_avg,GSestFCClatcnt_min,GSestFCClatcnt_max,GSmagmom_stoich_avg,GSmagmom_min,GSmagmom_max,GSvolume_pa_stoich_avg,GSvolume_pa_min,GSvolume_pa_max,HHIp_min,HHIp_max,HHIr_min,HHIr_max,HeatCapacityMass_stoich_avg,HeatCapacityMass_min,HeatCapacityMass_max,HeatCapacityMolar_stoich_avg,HeatCapacityMolar_min,HeatCapacityMolar_max,HeatFusion_stoich_avg,HeatFusion_min,HeatFusion_max,ICSDVolume_stoich_avg,ICSDVolume_min,ICSDVolume_max,IsAlkali_stoich_avg,IsAlkali_min,IsAlkali_max,IsDBlock_stoich_avg,IsDBlock_min,IsDBlock_max,IsFBlock_stoich_avg,IsFBlock_min,IsFBlock_max,IsMetal_stoich_avg,IsMetal_min,IsMetal_max,IsMetalloid_stoich_avg,IsMetalloid_min,IsMetalloid_max,IsNonmetal_stoich_avg,IsNonmetal_min,IsNonmetal_max,MeltingT_stoich_avg,MeltingT_min,MeltingT_max,MendeleevNumber_stoich_avg,MendeleevNumber_min,MendeleevNumber_max,MiracleRadius_min,MiracleRadius_max,NUnfilled_stoich_avg,NUnfilled_min,NUnfilled_max,NValance_stoich_avg,NValance_min,NValance_max,NdUnfilled_stoich_avg,NdUnfilled_min,NdUnfilled_max,NdValence_stoich_avg,NdValence_min,NdValence_max,NfUnfilled_stoich_avg,NfUnfilled_min,NfUnfilled_max,NfValence_stoich_avg,NfValence_min,NfValence_max,NpUnfilled_stoich_avg,NpUnfilled_min,NpUnfilled_max,NpValence_stoich_avg,NpValence_min,NpValence_max,NsUnfilled_stoich_avg,NsUnfilled_min,NsUnfilled_max,NsValence_stoich_avg,NsValence_min,NsValence_max,Number_stoich_avg,Number_min,Number_max,Polarizability_stoich_avg,Polarizability_min,Polarizability_max,Row_stoich_avg,Row_min,Row_max,SpaceGroupNumber_stoich_avg,SpaceGroupNumber_min,SpaceGroupNumber_max,Count NaN,% NaN
BeS,2073.15,17.63236113,8.098176455,27.16654579,20.538591,9.012182,32.065,1730.36,717.72,2743,9,2,16,100.5,96,105,1904,1848,1960,2.075,1.57,2.58,9.841355,9.3227,10.36001,1.101,0,2.202,-3.926127707,-4.097216719,-3.755038695,3.115262018,2.508239481,3.722284555,3.924984193,3.160183721,4.689784664,0,0,0,16.8384375,7.89,25.786875,700,8000,1000,4000,1.2665,0.708,1.825,19.5715,16.443,22.7,4.808,1.721,7.895,16.935,8.11,25.76,0.5,0,1,0,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,1,974.18,388.36,1560,77.5,67,88,103,112,1,0,2,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,4,0,0,0,2,2,2,10,4,16,4.25,2.9,5.6,2.5,2,3,132,70,194,0,0
C15H11N3,361.15,8989.946365,8.825089715,18618.05194,8.043722069,1.00794,14.0067,2239.76069,20.13,4300,9.172413793,1,15,58.4137931,31,76,1169.129031,0.0899,2260,2.467931034,2.2,3.04,12.48585079,11.2603,14.5341,5.970137931,4.496,7.853,-6.876697478,-9.209713655,-3.331290765,2.376905421,2.242692341,3.091182017,2.994713173,2.825615289,3.894645292,0,0,0,6.954181034,5.64,14.76875,1300,1300,500,500,5.899965517,0.709,14.304,18.35596552,8.517,29.124,60.78362069,0.06,117.4,17.42448276,5.67,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1989.250345,14.01,3823,83.20689655,77,92,72,72,2.75862069,1,4,2.965517241,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2.379310345,0,4,1.344827586,0,3,0.379310345,0,1,1.620689655,1,2,4.206896552,1,7,1.23050769,0.666793,1.67,1.620689655,1,2,194,194,194,0,0
C7H5FO2,457.15,9929.202549,8.825089715,18618.05194,9.34078688,1.00794,18.9984032,2031.048667,20.13,4300,10.13333333,1,17,58.4,31,76,1055.000233,0.0899,2260,2.647333333,2.2,3.98,12.764881,11.2603,17.4228,4.847133333,0,7.853,-6.155739612,-9.209713655,-1.698060958,2.364928429,2.242692341,2.687689729,2.979623109,2.825615289,3.386276865,0,0,0,6.698166667,5.64,9.7075,500,1500,500,1500,5.2762,0.709,14.304,19.5906,8.517,31.304,54.853,0.06,117.4,16.72866667,5.67,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1799.61,14.01,3823,84.4,77,93,64,64,2.533333333,1,4,3.466666667,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,4,1.8,0,5,0.333333333,0,1,1.666666667,1,2,4.8,1,9,1.145664333,0.557,1.67,1.666666667,1,2,157.8,12,194,0,0
CH3NaO3S,337.65,12411.79748,8.825089715,18618.05194,13.12083214,1.00794,32.065,722.7122222,20.13,4300,9.111111111,1,16,70.88888889,31,166,576.9507444,0.0899,2260,2.553333333,0.93,3.44,12.04542944,5.139076,13.61805,3.361888889,0,7.853,-4.314602196,-9.209713655,-1.260241383,2.759410333,2.242692341,3.88167309,3.476639163,2.825615289,4.890601634,0,0,0,11.98113426,5.64,29.24333333,500,1100,500,1000,5.367888889,0.708,14.304,26.00988889,8.517,29.378,13.61788889,0.06,117.4,24.37,5.67,39.76,0.111111111,0,1,0,0,0,0,0,0,0.111111111,0,1,0,0,0,0.888888889,0,1,532.0733333,14.01,3823,78.22222222,2,92,64,180,1.777777778,1,4,3.555555556,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,4,2,0,4,0.444444444,0,1,1.555555556,1,2,6.666666667,1,16,3.676264333,0.666793,24.11,1.888888889,1,3,123.4444444,12,229,0,0
CH5N,180.05,15955.94054,8.825089715,18618.05194,4.436728571,1.00794,14.0067,639.6942857,20.13,4300,4.857142857,1,15,43.14285714,31,76,323.1000714,0.0899,2260,2.37,2.2,3.04,13.39808786,11.2603,14.5341,7.171142857,4.496,7.853,-4.868229813,-9.209713655,-3.331290765,2.451353872,2.242692341,3.091182017,3.088512344,2.825615289,3.894645292,0,0,0,7.640535714,5.64,14.76875,1300,1300,500,500,10.467,0.709,14.304,25.97442857,8.517,29.124,16.865,0.06,117.4,26.92142857,5.67,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,565.1571429,14.01,3823,88.42857143,77,92,72,72,1.714285714,1,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.714285714,0,3,0.714285714,0,1,1.285714286,1,2,2.571428571,1,7,0.871995,0.666793,1.67,1.285714286,1,2,194,194,194,0,0
Cs2SO4,1283.15,10661.55246,27.16654579,18592.19717,51.69621483,15.9994,132.9054519,423.7314286,90.1,944,11.71428571,1,16,122.4285714,66,244,817.6737143,1.429,1960,2.56,0.79,3.44,10.37428857,3.893905,13.61805,0.314571429,0,2.202,-3.547662466,-4.756791905,-0.85462646,3.789546087,2.630893787,6.140481453,4.774528884,3.314718462,7.736521839,0,0,0,41.96241071,9.105,115.765,500,6000,500,6000,0.694857143,0.242,0.918,29.23314286,22.7,32.21,0.968714286,0.22,2.09,32.9,17.36,67.55,0.285714286,0,1,0,0,0,0,0,0,0.285714286,0,1,0,0,0,0.714285714,0,1,172.9628571,54.8,388.36,63.71428571,5,88,64,264,1.714285714,1,2,4.571428571,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0,2,2.857142857,0,4,0.285714286,0,1,1.714285714,1,2,22.57142857,8,55,17.84971429,0.802,59.42,3.285714286,2,6,82.28571429,12,229,0,0
Cu(OH)2,353.15,14886.46563,11.82994193,18618.05194,19.512136,1.00794,63.546,684.092,20.13,3200,9,1,16,65.2,31,132,1784.60756,0.0899,8920,2.636,1.9,3.44,12.4318732,7.72638,13.61805,3.1412,0,7.853,-3.971364032,-4.756791905,-3.331290765,2.559999832,2.365120549,2.807970487,3.225397676,2.979865165,3.537821124,0,0,0,8.502,6.615,11.07,999999.9,999999.9,999999.9,999999.9,6.1658,0.385,14.304,28.1736,24.44,29.378,2.832,0.06,13.6,22.114,11.81,32.02,0,0,0,0.2,0,1,0,0,0,0.2,0,1,0,0,0,0.8,0,1,299.078,14.01,1357.77,84.4,64,92,999999.9,999999.9,1.4,1,2,5,1,11,0,0,0,2,0,10,0,0,0,0,0,0,0.8,0,2,1.6,0,4,0.6,0,1,1.4,1,2,9.4,1,29,1.8175172,0.666793,6.15,2,1,4,127.4,12,225,6,4.411764706
MgF2,1536.15,12408.81314,23.2222931,18601.60857,20.7672688,18.9984032,24.305,510.92,84.88,1363,12,2,17,85,57,141,580.464,1.696,1738,3.09,1.31,3.98,14.163945,7.646235,17.4228,1.313333333,0,1.97,-1.646131408,-1.698060958,-1.54227231,2.984235364,2.687689729,3.577326635,3.759900953,3.386276865,4.50714913,0,0,0,14.10166667,9.7075,22.89,1500,5300,500,1500,0.890333333,0.824,1.023,29.159,24.869,31.304,2.996666667,0.255,8.48,18.77333333,16.42,23.48,0.333333333,0,1,0,0,0,0,0,0,0.333333333,0,1,0,0,0,0.666666667,0,1,343.3333333,53.5,923,84.66666667,68,93,999999.9,999999.9,0.666666667,0,1,5.333333333,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,1,3.333333333,0,5,0,0,0,2,2,2,10,9,12,3.960222222,0.557,10.76666667,2.333333333,2,3,74.66666667,15,194,2,1.470588235
XeOF4,226.95,21658.59258,18592.19717,36952.92402,37.21433547,15.9994,131.293,99.10333333,84.88,165,17,16,18,72.33333333,57,140,2.352166667,1.429,5.9,3.66,2.6,3.98,15.906515,12.12984,17.4228,2.389333333,0,6.456,-1.916717409,-4.756791905,0.04873128,3.022257473,2.630893787,4.751892136,3.807805808,3.314718462,5.987008929,0,0,0,16.93083333,9.105,53.65,500,1500,500,1500,0.728666667,0.158,0.918,29.23,20.786,31.304,0.585,0.22,2.27,23.47833333,16.42,57.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,71.68333333,53.5,161.3,93.5,87,102,999999.9,999999.9,1,0,2,8.666666667,6,18,0,0,0,1.666666667,0,10,0,0,0,0,0,0,1,0,2,5,4,6,0,0,0,2,2,2,16.33333333,8,54,1.179,0.557,4.044,2.5,2,5,49.5,12,225,2,1.470588235
C18H28O2,358.15,11638.51459,8.825089715,18618.05194,5.758619167,1.00794,15.9994,1627.996667,20.13,4300,6.5,1,16,49.33333333,31,76,847.6119833,0.0899,2260,2.382916667,2.2,3.44,12.72245633,11.2603,13.61805,6.266916667,0,7.853,-5.59509523,-9.209713655,-3.331290765,2.330283856,2.242692341,2.630893787,2.935973682,2.825615289,3.314718462,0,0,0,6.353125,5.64,9.105,500,500,500,500,8.648125,0.709,14.304,21.23895833,8.517,29.378,44.06916667,0.06,117.4,21.52791667,5.67,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1444.080833,14.01,3823,86.16666667,77,92,64,64,2.166666667,1,4,2.333333333,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1.583333333,0,4,0.916666667,0,4,0.583333333,0,1,1.416666667,1,2,3.166666667,1,8,1.04862925,0.666793,1.67,1.416666667,1,2,186.4166667,12,194,0,0
